,Thompson,Thompson_epsilon,Thompson_eta,Thompson_epsilon_eta,UCB_beta,UCB_beta_epsilon,UCB_beta_eta,UCB_beta_epsilon_eta,hybrid,hybrid_epsilon,hybrid_eta,hybrid_epsilon_eta,UCB_b1,UCB_b1_epsilon,UCB_b1_eta,UCB_b1_epsilon_eta,ID
148,522.853639551098,514.8017083857734,516.6001551238686,491.94184229483,519.7712853906756,524.8720310565701,504.2959585948109,488.2597981046351,531.185584239253,541.6810012289836,510.85274537671467,505.57037102522236,519.0033685292256,530.9862985597074,502.27238721101236,513.282388003341,201
149,513.7450529659949,500.0310747012081,523.7480549432886,504.01886289937335,554.1267553820783,553.0206728501229,537.9351772514582,536.0842535548934,518.1868997942731,525.12318763837,522.3490822884906,531.3072752558986,549.0259815020405,558.8434689825632,535.268419827479,546.9299765188498,202
150,678.4473676546603,674.1055600580866,690.4302970722144,686.0884892022201,673.047403275095,684.7969413345592,683.778702590928,695.6581019629238,680.3047991851167,692.1739634163036,692.2877896611466,705.1518996018993,667.0198072005153,674.6493550747211,678.3444683111495,685.6112871363272,204
151,570.815101017312,582.756704838358,571.2990756631318,579.2399300662821,608.3908043615534,613.264566203083,612.9223775018302,600.1012094535162,595.4041546640358,607.4347293410758,597.7682684857352,599.5295528575172,599.5692237882494,608.76196738471,603.7655095243165,609.736984107793,205
152,760.4463257013725,488.69919183173334,613.7607362172579,479.19349672271983,543.8943726061508,514.2375784676431,545.243102948715,487.4147637018297,513.9218410667443,508.68481915673493,503.91780758017,501.04560847701555,572.1360121146712,514.5286193758342,574.3371294911117,504.2653160007671,206
153,530.1823561550885,487.9168340883351,485.99250347378194,428.01071908391725,473.3606576058952,464.80610491718244,461.3528329763335,428.0596502445194,476.70743846321045,460.77363424716987,449.84333099232117,445.2116668660614,474.1818957127636,474.9255951928755,463.1694825686913,455.81326893605103,208
155,429.23452346387273,411.0669668359569,440.1509695678738,421.53244324040924,413.2132938400604,397.2416661309495,424.9530155570634,409.1484735905712,427.92658751688856,441.02428971179876,440.8825805873309,425.6357003910203,439.2026588893696,450.46167958465173,450.14380195292824,461.15823280656747,213
156,576.5561781953348,573.2788498083223,582.2570616965476,567.1532704975345,597.2419562890464,603.7293175013434,584.295892537834,586.5641494783026,593.3517030014917,595.230096882385,589.4651362615745,593.4759124906918,596.2307994673009,604.8460191473833,584.7696049163442,593.0032474540737,214
157,420.1185569760624,353.4472846936026,408.401302990254,331.0590078132197,396.9695063574949,365.4759702592644,383.7408355404343,333.2516110826076,374.2296177114749,349.157554240077,351.8256101594724,347.2860218547078,389.6115949420943,374.65528100108475,374.6638727781726,354.1372186302887,215
158,559.0813235843734,554.8081542334252,556.026200370752,539.0823894443896,565.892269615348,576.2009330311939,549.904822007905,551.9482780802053,572.2571613158545,576.5520900667584,557.5585484625157,565.6266737041673,556.7567477478798,568.7396774673974,540.8953659551313,552.8783159291738,216
159,532.5068277950755,544.4897586079489,452.3197925416046,436.8274954069258,637.8841159695138,649.8670475426684,574.641746838183,573.1199606068006,527.9209942046073,531.1991895332632,452.2771446656456,464.42419939431227,633.5167589910466,640.9613126351586,572.9392278762592,579.24026959122,217
160,454.83657153924645,455.4717890703367,434.7040588938566,422.05139773772675,450.6538329488225,443.8483124262227,434.060626287258,402.98919868503623,464.7341419761878,455.2054484095489,441.9185833822075,418.40374523636615,461.29594918757584,473.27887954358386,446.04426049233706,456.9973506988935,220
161,796.6763338618952,593.8375874030669,606.0743489322259,586.2570464810103,607.6644318810348,614.9479764392595,600.0410786937346,603.0503782968162,608.6686620014897,613.1840077439116,602.5554564150973,615.1268352612584,620.2099855522132,603.2115029375562,611.9429353184354,591.6016408890367,223
162,616.9748332939556,566.1326119593965,593.680305264564,565.6093682876692,572.1635856098637,566.0006890300981,580.3250759179183,570.6398278700077,582.7614206019963,594.3212234389232,581.5995904661222,588.2222231200318,561.4998552414502,565.924618022788,570.1884181390305,571.4358242868158,224
164,700.807257272891,637.4668928014754,645.9476964659536,606.6171296234206,633.9241255527946,635.4262768043534,625.4837199733777,611.9897695663221,646.3559910377088,644.5269645311332,626.3119479703377,629.0570497649823,629.9743202892237,628.8867317769417,621.5649659796125,614.635531568875,226
165,393.5234811429319,402.4304201163629,396.8788262315178,401.37427821513097,396.9098609783923,405.01478773682203,395.71443328070325,400.5551655634876,407.9420215379806,432.387743067457,401.2579527825305,412.17958794543756,428.1237804657373,440.106713062868,428.652761786036,440.6356933867998,227
166,494.9403428657033,506.92327340837835,396.8007436529614,408.78366837648804,482.68840815343765,489.77232343040646,421.5296377538776,423.3102394734824,449.6435685976674,461.62649221982525,414.825808355655,428.9945790743712,498.1259021866926,510.108835663679,450.7511695833619,462.73409521718946,229
167,735.2574734859244,711.8021726868932,713.7329323027407,714.5907021041756,720.4248148734808,718.0978854064009,730.9118613014307,727.6812950325665,728.1336967689183,739.6635927563991,731.6569757885519,743.3260886970153,756.1852113203119,710.0756109641541,767.6640610201832,719.7244384226635,230
168,595.2894442160263,557.066749602851,543.0796789930412,496.6147012849941,475.51614570091175,476.1451802243495,487.2215865416472,487.6602213187928,492.5556995895985,489.4399853028467,503.70228425709365,505.7965071987543,494.92895561727016,504.091968547602,505.68463659875266,514.6948801964271,231
169,482.8261290635776,455.5734030787853,462.1293131732683,425.8769108830229,473.4801519724949,466.7007737424594,446.75754936361255,426.85403058678287,474.66448101733175,483.42628951176266,442.179579788897,440.5411743687486,488.7031510110481,499.6965037244562,467.7877497124524,476.37143854624765,232
170,680.4294827578213,623.9608505913765,631.90001831167,561.5467903163463,609.6175260367992,618.1190531087675,581.208636844615,583.9840542160019,618.3459590083417,626.0914090203228,581.2922848905695,590.6604495102802,598.2635367045311,610.0683463616876,571.6131648532553,582.3952262517448,233
171,642.5466339290426,581.7485572816411,654.529562199898,593.7314861217942,619.9882151479363,611.7700172929879,625.451319759398,621.5915897779862,600.3558271777401,608.5870859720231,612.0472661567909,620.07767803091,618.3561794325187,602.0392281887414,620.0260699984354,611.8656872696669,234
172,387.47740632978883,399.46033786153157,373.3043407999195,385.28727225924115,393.75652544433893,404.22866081928873,373.68726774905457,383.23186028191395,395.16152498631385,405.7843065401634,384.5303741871421,395.0792521854135,459.31802817686423,471.30096001787473,441.942661682816,453.9255923769987,236
173,740.2956009803195,690.1689485518854,651.6279493777614,639.9943052596426,703.2622915468405,711.5995456095055,669.5474576220391,668.2379964401794,704.141137066648,711.7415182586357,657.6177532862204,669.9516235921828,703.4048827265827,701.0612449513608,666.1063361619523,661.2706070732171,237
174,595.6944046615645,577.720581058404,582.6383628432143,555.0576121983121,584.2119676731021,591.4780160361473,561.830809125638,564.5266420012144,593.6034474586229,605.1747092971391,572.2797342189093,575.3921491699699,580.9800443122919,592.9629761447203,559.2325672039515,571.2154966181578,238
175,831.4990778162481,829.7483177380607,836.7947687838275,823.0736044195035,841.2714582891406,836.5041786328147,849.6391555371657,837.0160040828787,845.1247672275134,852.2965064553051,846.1372943691684,848.9722106765237,928.0640801830955,825.5731360312654,935.2773817331848,829.7679740182159,239
176,541.3898036080662,531.5493896622206,442.68888244905594,413.50224144985134,506.70134895619697,514.5221221742709,438.4028138258357,422.5032702068151,516.9056568401627,522.9621764552542,434.5594145489852,423.30433347805894,512.7887835202847,524.7717160674779,458.1986977910499,470.1816277696274,240
178,595.6944046615645,577.720581058404,582.6383628432143,555.0576108167776,584.2119676731021,591.4780160361473,561.830809125638,564.5266420012144,593.6034468901504,605.1747102777115,572.2797342189093,575.3921491699699,580.9800446399569,592.9629761447203,559.2325672039515,571.2154966181578,243
179,504.5253740411024,502.40519116009636,511.4069185502382,498.9009574475225,488.9131504373065,490.69893932137524,492.3161653290926,487.1060718135114,506.59879847507335,507.7935161976134,510.1671388381722,504.4570469093443,508.9154984426436,520.8984315108813,511.87468007018856,523.8576358016912,244
183,521.8505963811266,458.6051675666708,509.7048166609568,441.0573166745732,473.2901914640306,465.70924358859895,466.64957909218515,445.19776986014494,477.1582426615659,488.546721679009,459.7975995907507,457.2750329521497,464.8847847547689,475.5535395391167,459.11724659953626,467.11097921118346,248
184,819.4213207364154,817.4823218901869,828.0766899426123,828.8903076399296,826.6626565785547,824.6811833348863,838.3689692758226,836.1634853390483,833.5666607736448,845.444873584203,845.2772763130881,853.2986279562094,890.5239413418701,817.5118245439025,902.4639238835417,828.8944604983112,249
