,ID,Q_0,gamma_short,gamma_long,eta_short,eta_long,beta_long,beta_short
148,201.0,1.489040474848767,5.6916664775741365e-08,4.950343387262248e-06,4.163473964263652,4.521671231937582,1.0,1.0
149,202.0,1.0000000049374953,1.4932985183214144e-08,1.3419444927318719e-08,1.7656406130419469,2.0300410522739796,1.0,1.0
150,204.0,3.560576777358105,1.090717418213318e-06,1.2018395639540942e-06,0.45575505832410823,0.10986996065659144,1.0,1.0
151,205.0,3.372117467855699,1.5665725027152318e-06,7.491392082759347e-07,2.364365175168743,2.2926958882940354,1.0,1.0
152,206.0,4.038675508812436,1.7974290980861522e-07,0.9692633860270526,4.023116113473898,2.9639871566740372,1.0,1.0
153,208.0,2.897701830167079,9.960973701958036e-08,5.898708371821663e-07,3.112532953447386,4.929163146058044,1.0,1.0
155,213.0,5.000004625380331,0.18132897095308267,0.34928787638893377,1.0984395702707659,1.2210671660357373,1.0,1.0
156,214.0,1.0000003795747723,1.3828047354735458e-07,4.497703146593411e-07,2.6525529181265353,3.111023886617445,1.0,1.0
157,215.0,3.5617437172269764,2.627536553815974e-07,0.5544534052600205,4.989519294015538,4.9999995819824266,1.0,1.0
158,216.0,1.000001213641234,4.588782072539932e-07,2.430555362603607e-07,3.3785428694215662,3.998614100958887,1.0,1.0
159,217.0,1.0000000027803977,1.1803868048303745e-08,1.4015651226531e-08,2.2127783993048444,3.777483428319567,1.0,1.0
160,220.0,1.9354965347224595,5.303923418303041e-07,5.551012973261992e-07,3.9154755674862747,4.650280721288818,1.0,1.0
161,223.0,2.911850346406957,5.217280519507068e-07,1.6620741347073423e-06,3.4851152001782664,4.5579800400478545,1.0,1.0
162,224.0,4.999994802828419,0.18840440255120364,0.09467803702726448,1.8830130532107958,2.0127610227063575,1.0,1.0
164,226.0,2.3931632943633208,2.7961735569573915e-07,9.151842902182495e-08,3.466492362128288,3.9632727698446577,1.0,1.0
165,227.0,2.5203987733455664,3.390283478452486e-07,1.178511383809342,3.2271642872753996,2.6500367032830368,1.0,1.0
166,229.0,1.0000002641206558,8.23915309967602e-08,6.039766047781252e-07,2.652602771344173,4.999999768825009,1.0,1.0
167,230.0,4.820721690082119,1.243544045080339,2.0921087577261113,0.7185900179613965,3.333935936330783e-06,1.0,1.0
168,231.0,3.7968964520398276,4.70560187306221e-07,2.99999695117877,0.9115081038662652,0.5529225104299125,1.0,1.0
169,232.0,1.0000017654537172,2.2379596313676742e-07,7.583719049564761e-07,4.183783140559732,4.648936553417442,1.0,1.0
170,233.0,1.0000003884178255,1.1077416030911732e-07,0.38433463521557365,3.629614707717728,4.612341673075164,1.0,1.0
171,234.0,1.0000002174565552,1.963548513509596e-07,1.2688930281072973e-07,1.5032847044752011,0.7298478598760175,1.0,1.0
172,236.0,1.0000002970865425,1.439691840039426e-07,2.575542309366267e-07,2.2877700342494074,3.414510091081051,1.0,1.0
173,237.0,1.0000002682101212,1.5002388442553701e-07,2.0712205709707748e-07,4.350743318666995,4.822290435351975,1.0,1.0
174,238.0,1.000000609325776,7.904806568516019e-08,8.547582247447532e-08,4.430785554238593,4.60208078905097,1.0,1.0
175,239.0,3.1238664304244854,2.2950091164205477e-06,2.4755746545766737,1.8313072305448748,3.9350408446882407e-07,1.0,1.0
176,240.0,1.0000000340479862,1.3906765901995515e-08,0.5017672478064751,4.3522616100907285,4.999999992695808,1.0,1.0
178,243.0,1.000000609325776,7.904806568516019e-08,8.547582247447532e-08,4.430785554238593,4.60208078905097,1.0,1.0
179,244.0,2.4213030712182917,3.263864011541933e-07,0.963295927617774,2.5003065831894546,2.1056392548317415,1.0,1.0
183,248.0,2.6526540074916514,7.951421322517037e-08,0.6113075684774407,3.981537887812886,3.69648420200188,1.0,1.0
184,249.0,3.0689847206226837,2.9999977899478156,2.6424329212302577,2.5988892053839487e-07,0.14937696102446474,1.0,1.0
185,251.0,1.000000301459262,1.1629653491083008e-07,5.098622904136111e-07,2.433454948140259,2.7280250687068035,1.0,1.0
186,252.0,1.0000000126476536,1.4743764469222061e-08,3.363480160954724e-08,1.5283211234577136,4.116489255646448,1.0,1.0
187,253.0,3.5205899014906348,5.614805068155129e-07,0.12448163611980846,1.9747949836241772,1.827093267532382,1.0,1.0
188,255.0,1.7728381447377568,5.27306389431526e-07,5.044449636213891e-07,4.172594679100524,4.328579573740089,1.0,1.0
189,256.0,1.9947229310199657,2.8147639070614975e-07,0.33945195129832617,3.1760542968375853,4.362146006683678,1.0,1.0
190,259.0,1.0000022593447215,3.0174418669317115e-07,4.3677752722415223e-07,4.074405849752759,4.841478175633953,1.0,1.0
191,260.0,3.166985054857479,3.815824561495208e-07,4.547865222649808e-07,3.3447165589470833,4.999999727896221,1.0,1.0
192,261.0,3.864392480765983,7.284267570562476e-07,0.8184925588311508,2.1144901664755347,2.026775390253645,1.0,1.0
194,263.0,1.0000004103000688,2.0271015073552713e-07,2.32554458299232e-07,3.9342123755530123,4.341288868220101,1.0,1.0
195,264.0,1.8211998693140177,9.117631352577423e-07,3.68765078819061e-07,3.6901056078025904,4.3745453949667805,1.0,1.0
196,265.0,1.37086786189459,2.3480892021005903e-07,0.3067945435579918,2.6617931537521926,2.4229485797209382,1.0,1.0
197,268.0,4.737510205958733,6.31595744884778e-07,1.0896222616862743,2.082963239960956,3.1518823958160693,1.0,1.0
198,269.0,3.215263107322171,1.8382276373215267e-08,0.424785324111623,3.5014643598044413,4.999999990301604,1.0,1.0
199,270.0,4.712423832771508,0.30498083405639587,2.847039654048887e-06,1.6242054632567402,2.082298999402858,1.0,1.0
200,272.0,1.1630008080243681,2.4591028013690846e-06,2.4284513788377546e-07,2.660211331075164,3.5750191218820206,1.0,1.0
201,273.0,1.1350600452290662,4.661335484160167e-08,1.7056077269539063,4.999999709292092,4.999999337402081,1.0,1.0
202,274.0,2.7015700420366233,1.7661373404129747e-08,1.2230479166711437,3.7890865943139267,4.999999990122892,1.0,1.0
203,276.0,2.3973741040303986,7.269574267521244e-08,0.025964189745368814,3.9756523969491946,4.136420334815544,1.0,1.0
204,277.0,1.0000021796409793,4.934916677157126e-08,1.0593647930150187,4.0959276553039805,4.448050056481704,1.0,1.0
206,279.0,2.63966508904582,3.556552417554456e-07,1.2818672952406334,3.366915009509115,3.185749899365872,1.0,1.0
207,280.0,1.0000000098446715,1.4249624627418546e-08,1.8149669932933332e-08,4.3412893972728455,4.999999987940929,1.0,1.0
208,281.0,1.9629876925756191,6.372809170478827e-08,1.3972506429848865,4.4278757864759335,4.170842819044113,1.0,1.0
209,282.0,2.1846899858656843,0.8552702449392722,2.9999952634167815,2.6147667300851833,2.0009323058749488e-07,1.0,1.0
210,283.0,3.5075954830035863,0.1993886949473825,5.566738730279684e-07,2.9643897465393287,4.184020730797146,1.0,1.0
212,285.0,1.0000003185176614,2.67197792655759e-07,1.4943668935778621e-07,2.222012300433393,2.8490418898748904,1.0,1.0
213,286.0,1.0000000229272377,1.4240261772246834e-08,1.4322319052985126,2.5935766245657415,4.999999985975165,1.0,1.0
214,287.0,1.0000003724635118,2.749362836242201e-07,1.664096011565813e-07,2.2163405108728695,2.789509237709511,1.0,1.0
216,289.0,3.594150443639363,1.2606680113349557e-07,2.80532072115849,3.9648292427218466,1.3712591779714325,1.0,1.0
217,290.0,1.0000000126476536,1.4743764469222061e-08,3.363480160954724e-08,1.5283211234577136,4.116489255646448,1.0,1.0
