,ID,sigma_0_short,sigma_0_long,Q_0,epsilon_short,epsilon_long
235,308.0,1.926320025906137,1.8004259189040346,5.932749001026525,0.07862426155440447,0.12761573830785902
236,309.0,1.0859108466065404,4.24197695478032,5.097783201302737,0.018610747362807253,0.0298501519236758
237,310.0,4.752533420522307,2.2033446753474686,9.451725829831439,0.08751447271751163,1.5986193048237094e-08
238,311.0,0.17127497303376688,0.37434755320977464,4.261732592904665,0.33528625459046696,0.4173657217124608
239,312.0,1.0376135093146026,0.292659442772233,3.984268554090094,0.48426672041422403,0.29166027573261877
241,314.0,2.8409411542847853,2.40603696444719,9.281188958379332,0.08225257838278993,0.0952405011398261
242,315.0,0.8753864043754375,0.7868946028702638,4.9755324045647225,0.07537865342532916,0.017160554076284428
243,316.0,0.9484748396534256,3.124733897574312,4.322459540747464,0.04627250488026999,0.03671928854527772
244,318.0,0.8621840222577268,1.2674121750775322,6.255278204883083,0.392488736592764,0.35759943072429284
245,319.0,5.999973070732343,2.3962198767200236,8.328110242919891,0.13284318476046722,0.105257515063833
246,320.0,5.666776202231049,1.4901983206672993,8.000331473707831,0.04316772591104255,0.05446443509617023
247,321.0,1.8222221454485645,1.8561976571897794,7.117175306702182,0.03111322191648901,1.1065608192101443e-08
248,322.0,1.4557784581832527,0.6975773341026832,6.488065681564194,0.4198224349004061,0.49999906292489316
249,324.0,5.999999855811516,2.0373445917159936,7.894237020199524,0.06150872310047705,0.06895085333087578
250,325.0,1.7403444846784049,1.588176851803689,6.826621214398696,0.09053482277628161,0.15524707360435053
251,326.0,1.0380158793737453,1.3257747858631583,5.0856491731699895,1.5179712414988303e-08,0.03302285070595853
252,327.0,0.851080108935223,0.9538275849422093,5.665485530261566,0.19389988076727313,0.2662906016673045
253,328.0,1.8728593148105903,1.7633609260905743,6.400949760338012,0.11138511088121021,0.054835752371109665
254,329.0,3.393606285966577,1.4287818812813007,8.819475350841042,1.2494738084081384e-08,0.07311976138847194
255,330.0,5.999999918033944,0.9862215167180901,8.129395237641011,0.04636541220700451,0.07579106792640807
