,ID,sigma_0_short,sigma_0_long,Q_0,eta_short,eta_long,epsilon_short,epsilon_long
153,208.0,1.278169624325457,1.1827916226095587,3.125329197802171,2.6416544452746984,4.785236215785262,0.04347334749670369,0.11007737307750627
155,213.0,1.0568871950646015,1.0526364021660932,6.193810460023647,0.025099010611641135,0.3077217162536717,0.022981547611071462,0.04983952260740145
156,214.0,0.9128340168821439,0.958388257598221,2.2796882961644607,1.2565918982405704,1.7334021544481455,0.05379155152719422,0.23444121690345662
157,215.0,1.272760096805356,1.3287275866637165,4.583100262814362,4.822392361184587,4.999999961350335,0.10039060785671453,0.06959756774371989
158,216.0,0.9553354417801311,0.9204985754945066,2.9839942895553127,1.3835196906851106,1.886107074329404,0.11158243292229167,0.11380912749439664
159,217.0,0.534758509629073,0.7589305998963658,1.0000000078751883,1.1860672338972449,2.8917336710380273,1.021081179975446e-08,0.17422292892731764
160,220.0,1.1547806249692658,0.9615273942752484,3.4534135138653443,2.238982408003833,2.688454821318674,0.03765442710604295,0.08254211834599548
161,223.0,1.51293752489498,1.1447742057193284,2.6678332269522476,3.963295509393902,4.999999139864262,0.19207547386728854,0.22700406194343378
162,224.0,0.9991657256648959,0.9573282034650757,5.342984282092603,1.5213540814031736,1.504977001478254,0.1751889234978316,0.13890558246831303
164,226.0,1.1258664202930846,0.9606040138618328,2.7536093531115564,3.039853914755022,3.2532744435594347,0.256137513772323,0.1834043619669754
165,227.0,0.9801369534052735,1.250486852323705,4.4719346011087024,1.1316556958492694,1.8306814683892563,0.008985511644203203,0.04257712024286532
166,229.0,0.7690108943636359,1.2152534635677805,2.025383664223884,1.2765449393125046,3.624753574424653,9.813532056774764e-08,1.7786551027411953e-08
167,230.0,0.4748210652282723,0.7367328539960634,5.86088431285172,0.6505093008373785,1.1135280493749762,0.31717712475368975,0.3310192757436377
168,231.0,1.1461590574060083,1.8757486703130528,4.797752477530625,6.515816867187385e-08,2.8505773583550598,0.029107385923057602,0.11430576191670305
169,232.0,0.872226815372997,0.9024368170455878,3.432340396617925,1.5634116162549105,1.9739605661258384,0.016622402028330766,0.08392776551927238
170,233.0,1.0950064265404547,1.4147221318474217,1.5055542187945075,2.755345598871242,4.485587911614207,0.0832616664007233,0.1380957900277048
171,234.0,1.1360529910137254,0.753996192803742,1.9027809193512857,4.86775172671733e-07,2.1930516453418633e-08,0.250633360720882,0.15686898677902386
172,236.0,1.323577613729734,1.4077414485827282,1.9998543217464881,1.3570189900934002,2.3865668746875124,1.0227476135444217e-08,1.1283844523673885e-08
