,ID,Q_0,gamma_short,gamma_long,beta_short,beta_long,epsilon_short,epsilon_long,eta_short,eta_long
67,107.0,1.0001513757393268,8.529761229537803e-07,2.797380633494153e-06,1.2801114628247223,1.0635953188151095,0.18075743478720785,0.12165899108712061,3.1000244899455622,2.5336889834129557
68,108.0,2.2177739444431754,2.445945366904638e-07,0.5893908978042542,5.239186255537104,3.9729637368659665,0.07543464275289431,0.13068115503837904,3.023302581315284,4.274111769201599
69,109.0,1.3413299582158924,6.876395406966197e-08,1.950196065658068e-07,2.049374088329915,2.623829962750775,0.06628027608208714,0.1263705972045227,2.9690342261250096,3.326028593288723
70,110.0,1.1652809270444588,2.2275533595750387e-07,1.0572757390133594,3.0438079866066454,2.2813462922951793,0.08620975721294956,0.1402530077975415,3.678968140574057,3.662163799393432
71,111.0,2.2030362503112353,7.2051807452658294e-06,2.5118002540500265e-07,2.8060716768535543,2.2113916044673427,0.03681474306589475,0.08235709639948179,2.9725389296955287,4.2030716636587195
72,112.0,1.0000000442984731,3.152183426330943e-08,5.4802876432613897e-08,2.7099777836313805,2.68402751924674,0.06980177680402327,0.04285773776350265,3.5566093586972483,4.078941016321547
74,114.0,2.357927732938729,9.981502685804978e-07,1.3113485377243208,2.342429716091316,1.509924069445508,0.04122247229956182,0.06580941619756817,1.8723770926235956,1.77183805648556
75,115.0,2.5435770008689342,3.0127845003586507e-08,4.258739379744728e-07,1.632405781465523,2.07654016111781,0.09174878892807632,0.10412916929944101,3.183931495859424,4.999999980214922
76,116.0,3.9416208979098433,6.266928362102879e-07,0.14103405264535626,3.762544064621246,2.2685575153493094,0.07542242038351246,0.0565692655110563,1.9883252506291296,2.4739493001617836
77,117.0,1.8490257391076519,1.328337834828781e-06,4.840617252282493e-06,2.2345166221483677,2.2755333715708437,0.3380890014211397,0.2868872347723479,2.8710156503575623,3.3830051714174765
78,118.0,1.563969819244846,0.6384754963878765,5.748867369877275e-08,1.872598070359629,1.4941578606470751,0.14305498023126792,0.09245987225083814,2.3555476807314366,2.971955706524812
79,119.0,1.0000000862333978,2.8008093639305024e-08,0.9587670246228096,2.6070317121121604,2.4312107885064007,0.04267035690527634,0.059239966043546775,4.518731023052413,4.999999911453514
80,120.0,3.2255067502930386,0.06224603403317813,3.0425915361914937e-07,3.205709867069397,2.4856879828044867,0.06053510264950503,0.04093059968315342,3.101821951320813,3.8952340513806663
81,121.0,1.9886714775204934,6.418728379952652e-08,0.6195502347026122,2.360873581241153,1.7519485083722643,0.017060533661517285,5.476334241955253e-09,2.7435168551353812,2.482258479009064
82,122.0,1.0000004423915188,1.7262425318285516e-07,5.3864727626231405e-08,1.809191650393493,1.015398373936187,0.2258233486931231,5.5613827838916714e-09,4.045593795198784,4.392360787326385
83,123.0,1.0987117802688138,4.472985137419784e-07,2.8096585210693245e-07,2.290822032588522,1.9551281608672222,0.07994906939463398,0.09003636206732567,4.264985437560513,4.927995632333817
84,125.0,2.9128062679129196,6.188867607216413e-07,1.1017448700288403e-06,2.169563876320191,2.891917264461407,0.18950414791195289,0.282845739014352,1.8083775916830036,2.4550401325455
85,127.0,2.906272464724706,0.22560062398373282,1.5686794338282938e-06,2.355727558578004,1.8424981604844564,0.11149537720053737,0.12058238748715366,2.6851192003106257,3.278504121713426
86,128.0,1.0000001959214437,1.3735298023502584e-07,1.5163846974332303e-07,1.81543294731283,1.7439322574875853,0.21203121614565806,0.13187197509126647,3.584447859355147,3.843037137992755
87,129.0,3.385158415890236,1.6268007528485248e-06,0.18658611492332003,1.886924318524669,1.0802350076668477,0.4803925876093912,0.47342834366636627,1.7453817564895315,1.1526283356333356
88,130.0,4.5597700721310614,2.8444875479122883e-05,7.503086315772213e-06,1.557423615506835,2.3204449365122537,0.034796120329662054,0.05931064447054671,3.404727293431404,4.354528534103074
90,132.0,3.1183638501322353,1.3975021240586115e-06,0.4779656438343825,3.175713271882827,4.086225372221572,0.040946950471636226,0.0483714260627771,2.1311758413130937,1.9781069327092111
91,133.0,1.0000000548845351,2.2973578488319714e-08,1.3451268057373587,1.5357676523854897,1.657177519441747,0.031890051912927285,0.11204567675569721,3.686207974812151,4.999999956475896
92,134.0,2.451114284119144,1.290338876361042e-06,2.1921549347452065,3.242618549018114,3.0121676710464085,0.07608522506230014,0.14991031480546305,3.090903826682727,2.5921669447356193
93,135.0,1.0000000293227072,2.736532667296889e-08,3.957813516327288e-08,2.1532652686044425,1.2110918215416366,0.14092641911010345,0.2550345589630638,3.9245694609053507,3.020601563365573
94,136.0,2.7008467921540746,1.4293970720984415e-06,0.8124264824445789,2.0840402698860525,2.2011327711420035,0.16531517176164848,0.20104864048746715,3.9197622778368646,3.7197919949469176
95,137.0,1.5032780858022796,8.780295681440718e-07,4.730044928431458e-06,2.0619153430899675,1.7821124848138568,0.06576201766578624,0.17155081240809483,4.884016325953571,4.999970133501847
96,138.0,2.738395010124475,5.79588043600904e-07,9.261564844014579e-08,2.727349232870641,3.3950800304920725,1.2460808040431107e-09,0.13830584557759493,1.658100660789999,3.654695589349346
97,139.0,3.9828298123374593,3.2183529775273076e-06,1.152629640065519,2.5378337823362918,1.6793521617367049,0.048243426062897006,0.08248432681240964,2.3425929159616565,2.3745980194545835
98,141.0,2.1208390586838406,3.83118633433504e-07,5.876652892804122e-07,2.150968429852613,2.498339302210376,0.1087269860225069,0.11917838668633747,1.7024954729370467,4.264877683273332
