,ID,Q_0,gamma_short,gamma_long,beta_long,beta_short
213,286.0,4.479061687404575,1.1438203863859437e-08,2.9999999975170213,1.0,1.0
214,287.0,3.6915984826118575,1.4561490455903668e-08,0.26966341778448505,1.0,1.0
216,289.0,8.131141439391996,8.787988279977913e-07,0.15434331427653247,1.0,1.0
217,290.0,2.81949129850341,1.344676364837386e-08,2.577940488109031,1.0,1.0
218,291.0,5.660780017611247,1.5313952095829468e-08,0.44703777848738235,1.0,1.0
219,292.0,6.346616178825877,1.3889062670998157e-08,1.1531902288221418,1.0,1.0
220,293.0,9.03156414516357,2.529844856084648e-07,2.996477576532139e-07,1.0,1.0
221,294.0,7.197122355940107,7.394275353557718e-08,1.8707251316266233,1.0,1.0
222,295.0,5.105458750053903,1.6385598505261975e-08,1.7386984398659604,1.0,1.0
223,296.0,4.591706348946641,1.424109717993492e-08,2.2974016301575423e-08,1.0,1.0
224,297.0,7.912045427289218,1.7147678676759244e-07,0.6927879308140727,1.0,1.0
225,298.0,9.471706688946439,0.42703650612931954,1.6081417862308814e-07,1.0,1.0
226,299.0,6.745875772974548,3.449923335435479e-06,0.3880122884573758,1.0,1.0
227,300.0,8.389906014011917,1.6564893062036162e-08,2.045851741981751,1.0,1.0
229,302.0,5.986681907953192,1.5161969987161512e-08,1.1879880192050094,1.0,1.0
230,303.0,5.659107077712721,1.1316595628441142e-07,0.7009776914221327,1.0,1.0
231,304.0,5.821269728427263,1.6083232676956517e-08,1.9004456382723725,1.0,1.0
232,305.0,5.53057863920091,2.9999998058236117,2.932381055201116,1.0,1.0
233,306.0,6.86823682712845,3.218817509520552e-08,0.09800655537748547,1.0,1.0
234,307.0,4.609982164472615,2.659406690696687e-07,6.834504573862373e-08,1.0,1.0
235,308.0,5.7973174467548425,1.4382899589125002e-08,0.4535601182052395,1.0,1.0
236,309.0,4.814484672570577,1.9292396779790544e-08,1.9100609346411583,1.0,1.0
237,310.0,7.10904358656585,1.5123210044895066e-08,2.1713061968480747,1.0,1.0
238,311.0,4.982083135969164,0.010831934793248408,1.2562274539689723e-07,1.0,1.0
239,312.0,4.216041444814453,3.221937993896661e-07,0.05505728587089703,1.0,1.0
