,ID,Q_0,gamma_short,gamma_long,epsilon_short,epsilon_long,beta_long,beta_short
131,179.0,5.0046355378530745,1.014225814308057e-07,0.5002048585895057,1.6865307071902815e-08,2.2556767685457518e-08,1.0,1.0
132,180.0,5.068608621806891,1.5988761839661325e-07,0.5093047641628955,3.015665460120331e-08,0.08591151315748734,1.0,1.0
133,184.0,5.251234222441174,1.1603778733578106e-07,2.04932869195613,1.4854283259926358e-08,1.5436456726795237e-08,1.0,1.0
134,185.0,5.4410012742052585,1.3908054385412125e-07,1.2877274911826482,1.3232587211864203e-08,1.2262283766545549e-08,1.0,1.0
135,186.0,5.6254702066836275,2.3066569839416866e-07,1.1847797307755477,1.7544886407723276e-08,2.4962938095516388e-08,1.0,1.0
136,187.0,4.30014420680494,2.1237466075496027e-08,2.999999875964294,0.0023261652688234954,0.005497604056379809,1.0,1.0
138,189.0,8.497276893915835,1.3339541074834523e-07,0.4050045199034554,0.017087481423929445,0.07352541320251747,1.0,1.0
139,190.0,4.609525227447067,9.494093391460489e-08,1.7627669248882496,1.818080260711738e-08,3.605383760246843e-08,1.0,1.0
140,191.0,7.937402812705359,3.50451261217652e-08,1.5641698886379969,0.013947886718842816,0.06544216187219562,1.0,1.0
141,192.0,3.4411733870527037,5.2195513743321274e-08,2.5778070903487614e-08,0.07954287261739997,1.4246012348975208e-07,1.0,1.0
142,193.0,3.9811858379380842,1.515391736301174e-08,1.9066265902595951,1.0420458047397605e-08,1.1118501830202335e-08,1.0,1.0
143,194.0,5.08829044113515,1.078461583578954e-06,1.5726061105902085e-07,0.31796766761378736,0.10690649359514603,1.0,1.0
144,195.0,5.867692469471392,2.9140201874104275e-07,6.461866221913467e-07,1.8408632316929505e-08,1.5810320176983987e-08,1.0,1.0
145,196.0,6.309257267524637,2.3048144686550926e-07,4.582227701964164e-08,0.22226403356262872,0.25094701971142236,1.0,1.0
146,197.0,5.659109111363507,1.576344794221876e-07,1.736890964591052,0.0217731029554313,0.21383245439114645,1.0,1.0
148,201.0,6.349360287803524,3.1554858243761777e-08,0.28294854667824315,1.1989518016523008e-08,1.7467397208814537e-08,1.0,1.0
149,202.0,2.8269876450156066,1.5115152491935683e-07,1.2356286445228768e-07,3.3951890487739435e-08,0.05173829710430666,1.0,1.0
150,204.0,3.528457335039542,0.45245414341460294,2.6755874240419617e-07,0.00875199325085444,0.1299346925052034,1.0,1.0
151,205.0,6.152090262554866,2.485928974788166e-08,4.180748457636524e-08,1.1095765786394408e-08,0.08187663686556072,1.0,1.0
152,206.0,9.898601092526855,4.3763701629903383e-07,1.1155888079301871e-06,0.1381689841397142,0.17932551874003402,1.0,1.0
153,208.0,6.595079887457173,1.4346997236023573e-07,2.273752609270064,1.9950739159401586e-08,0.08130981434637138,1.0,1.0
155,213.0,6.486458586183061,2.3714905989483727e-07,0.30071403008798164,1.1487520767370765e-08,0.013711933758932668,1.0,1.0
156,214.0,4.065230036502357,1.4661382961506681e-08,0.3335712032902526,1.047364942360924e-08,0.0993315168034102,1.0,1.0
